date,symbol,open,high,low,close,volume,open_interest
2026-04-27,RB0,3191.0,3214.0,3185.0,3190.0,732162,1790156
2026-04-28,RB0,3191.0,3195.0,3162.0,3176.0,667771,1749901
2026-04-29,RB0,3176.0,3198.0,3166.0,3195.0,583210,1802387
2026-04-30,RB0,3195.0,3220.0,3191.0,3214.0,658964,1885016
2026-05-06,RB0,3227.0,3268.0,3219.0,3264.0,703029,2030834
2026-05-07,RB0,3260.0,3278.0,3253.0,3273.0,845032,2110783
2026-05-08,RB0,3272.0,3285.0,3261.0,3263.0,824912,2144541
2026-05-11,RB0,3262.0,3298.0,3260.0,3286.0,851465,2172556
2026-05-12,RB0,3285.0,3292.0,3246.0,3255.0,966893,2141462
2026-05-13,RB0,3251.0,3267.0,3236.0,3257.0,832174,2092246
2026-05-14,RB0,3249.0,3260.0,3233.0,3255.0,780109,2055051
2026-05-15,RB0,3255.0,3272.0,3226.0,3232.0,934979,2021601
2026-05-18,RB0,3232.0,3237.0,3204.0,3206.0,743315,1954850
2026-05-19,RB0,3210.0,3213.0,3187.0,3204.0,700743,1873631
2026-05-20,RB0,3205.0,3206.0,3177.0,3189.0,665323,1851774
2026-05-21,RB0,3191.0,3198.0,3172.0,3175.0,757206,1840880
2026-05-22,RB0,3175.0,3179.0,3163.0,3168.0,613204,1804080
2026-05-25,RB0,3168.0,3238.0,3165.0,3218.0,1184446,1792405
2026-05-26,RB0,3218.0,3218.0,3138.0,3146.0,1515821,1733217
2026-05-27,RB0,3146.0,3152.0,3136.0,3144.0,580653,1749599
2026-05-28,RB0,3145.0,3162.0,3144.0,3145.0,601915,1737261
2026-05-29,RB0,3150.0,3170.0,3146.0,3158.0,576024,1728672
2026-06-01,RB0,3156.0,3189.0,3156.0,3177.0,679167,1709019
2026-06-02,RB0,3180.0,3184.0,3169.0,3180.0,491678,1701321
2026-06-03,RB0,3180.0,3187.0,3165.0,3169.0,528286,1683998
2026-06-04,RB0,3166.0,3180.0,3154.0,3157.0,621994,1704591
2026-06-05,RB0,3157.0,3175.0,3149.0,3165.0,620284,1722884
2026-06-08,RB0,3165.0,3175.0,3151.0,3157.0,611010,1709044
2026-06-09,RB0,3157.0,3160.0,3142.0,3156.0,610314,1725186
2026-06-10,RB0,3156.0,3194.0,3147.0,3180.0,844602,1672989
2026-06-11,RB0,3175.0,3182.0,3151.0,3156.0,672854,1641615
2026-06-12,RB0,3155.0,3190.0,3154.0,3178.0,768075,1642243
2026-06-15,RB0,3180.0,3195.0,3173.0,3187.0,800414,1638154
2026-06-16,RB0,3187.0,3188.0,3162.0,3169.0,589396,1620085
2026-06-17,RB0,3170.0,3174.0,3151.0,3155.0,543309,1630231
2026-06-18,RB0,3155.0,3155.0,3122.0,3131.0,919634,1713730
2026-06-22,RB0,3131.0,3133.0,3114.0,3127.0,471992,1744022
2026-06-23,RB0,3127.0,3129.0,3105.0,3112.0,496953,1790093
2026-06-24,RB0,3110.0,3123.0,3102.0,3111.0,530582,1839630
2026-06-25,RB0,3105.0,3121.0,3091.0,3098.0,742507,1897730
2026-06-26,RB0,3096.0,3106.0,3080.0,3093.0,684521,1901198
