datetime,symbol,open,high,low,close,volume,open_interest
2026-04-27,V0,5140.0,5248.0,5130.0,5228.0,995713,923090
2026-04-28,V0,5220.0,5360.0,5183.0,5358.0,1358790,930411
2026-04-29,V0,5349.0,5371.0,5252.0,5295.0,1260580,932599
2026-04-30,V0,5320.0,5327.0,5269.0,5272.0,988936,913066
2026-05-06,V0,5260.0,5341.0,5252.0,5319.0,906999,954248
2026-05-07,V0,5280.0,5291.0,5125.0,5163.0,1256232,986600
2026-05-08,V0,5126.0,5196.0,5120.0,5145.0,841816,978916
2026-05-11,V0,5145.0,5165.0,5105.0,5133.0,867292,973397
2026-05-12,V0,5127.0,5154.0,5071.0,5105.0,872884,972155
2026-05-13,V0,5093.0,5231.0,5065.0,5229.0,1085916,980767
2026-05-14,V0,5230.0,5257.0,5054.0,5056.0,1665931,1053538
2026-05-15,V0,5056.0,5109.0,5024.0,5027.0,1008569,1040706
2026-05-18,V0,5030.0,5144.0,5006.0,5109.0,1121585,1020375
2026-05-19,V0,5082.0,5083.0,5018.0,5050.0,906399,1027714
2026-05-20,V0,5048.0,5069.0,4936.0,4947.0,1279798,1081621
2026-05-21,V0,4947.0,4964.0,4862.0,4865.0,1120711,1128744
2026-05-22,V0,4868.0,4892.0,4804.0,4846.0,919729,1114102
2026-05-25,V0,4830.0,4949.0,4826.0,4914.0,1163105,1084558
2026-05-26,V0,4926.0,4928.0,4839.0,4854.0,817808,1093033
2026-05-27,V0,4850.0,4904.0,4833.0,4873.0,732995,1068744
2026-05-28,V0,4855.0,4994.0,4850.0,4939.0,1218278,1034138
2026-05-29,V0,4940.0,4959.0,4906.0,4924.0,960477,1057944
2026-06-01,V0,4911.0,5032.0,4911.0,4993.0,1182229,1032082
2026-06-02,V0,5013.0,5024.0,4931.0,4950.0,967037,1053814
2026-06-03,V0,4934.0,4967.0,4870.0,4943.0,1115977,1053967
2026-06-04,V0,4933.0,4940.0,4813.0,4819.0,1087942,1137073
2026-06-05,V0,4801.0,4815.0,4754.0,4767.0,992635,1161300
2026-06-08,V0,4769.0,4802.0,4719.0,4778.0,1030669,1147823
2026-06-09,V0,4751.0,4787.0,4690.0,4717.0,912077,1155057
2026-06-10,V0,4710.0,4718.0,4652.0,4706.0,935654,1164961
2026-06-11,V0,4707.0,4735.0,4644.0,4716.0,1073195,1196478
2026-06-12,V0,4706.0,4759.0,4672.0,4741.0,902105,1197273
2026-06-15,V0,4738.0,4784.0,4685.0,4692.0,1213504,1193294
2026-06-16,V0,4696.0,4705.0,4617.0,4637.0,1004117,1259719
2026-06-17,V0,4610.0,4690.0,4604.0,4618.0,977681,1261906
2026-06-18,V0,4638.0,4641.0,4580.0,4616.0,866347,1256297
2026-06-22,V0,4625.0,4657.0,4526.0,4535.0,772889,1336038
2026-06-23,V0,4529.0,4529.0,4439.0,4444.0,1003215,1389523
2026-06-24,V0,4454.0,4527.0,4435.0,4490.0,960017,1328453
2026-06-25,V0,4476.0,4540.0,4458.0,4469.0,1129951,1325614
2026-06-26,V0,4460.0,4488.0,4385.0,4388.0,1075215,1421719
